state,district,month,age_0_5,age_5_17,age_18_plus,total
Maharashtra,Mumbai( Sub Urban ),2025-11,0,50,2007,2057
Maharashtra,Mumbai( Sub Urban ),2025-12,0,109,1336,1445
Maharashtra,Mumbai( Sub Urban ),2026-01,0,7,166,173
Maharashtra,Nagpur,2025-03,0,9714,26019,35733
Maharashtra,Nagpur,2025-04,0,7738,21353,29091
Maharashtra,Nagpur,2025-05,0,15431,37485,52916
Maharashtra,Nagpur,2025-06,0,9982,26316,36298
Maharashtra,Nagpur,2025-07,0,10027,25695,35722
Maharashtra,Nagpur,2025-08,0,6521,17072,23593
Maharashtra,Nagpur,2025-09,0,19325,22399,41724
Maharashtra,Nagpur,2025-10,0,12959,34582,47541
Maharashtra,Nagpur,2025-11,0,17677,39353,57030
Maharashtra,Nagpur,2025-12,0,9184,17539,26723
Maharashtra,Nagpur,2026-01,0,1400,2587,3987
Maharashtra,Nanded,2025-03,0,13863,23936,37799
Maharashtra,Nanded,2025-04,0,8992,13883,22875
Maharashtra,Nanded,2025-05,0,11405,39464,50869
Maharashtra,Nanded,2025-06,0,11695,28050,39745
Maharashtra,Nanded,2025-07,0,12116,28272,40388
Maharashtra,Nanded,2025-08,0,7113,16635,23748
Maharashtra,Nanded,2025-09,0,25037,22114,47151
Maharashtra,Nanded,2025-10,0,10437,41324,51761
Maharashtra,Nanded,2025-11,0,17476,32406,49882
Maharashtra,Nanded,2025-12,0,11184,14559,25743
Maharashtra,Nanded,2026-01,0,1545,2107,3652
Maharashtra,Nandurbar,2025-03,0,5181,10881,16062
Maharashtra,Nandurbar,2025-04,0,2795,5192,7987
Maharashtra,Nandurbar,2025-05,0,9683,24872,34555
Maharashtra,Nandurbar,2025-06,0,11526,17542,29068
Maharashtra,Nandurbar,2025-07,0,12061,21050,33111
Maharashtra,Nandurbar,2025-08,0,4761,12017,16778
